image,formula
val_000589.png,S _ { \mathrm { { \small i n t } } } = { \frac { 1 } { 2 } } \int _ { \Sigma } d ^ { D - 1 } x ~ T _ { \mu \nu } { \widetilde h } ^ { \mu \nu } ~ .
val_000590.png,"\mathrm { \boldmath ~ V ~ } ^ { 2 } = \mathrm { \boldmath ~ s ~ } ^ { 2 } \left( \frac { { \mathrm { \boldmath ~ \nabla ~ } } \rho } { m \rho } \right) ^ { 2 } \ ,"
val_000591.png,"\mathrm { t r } { \vphantom | } _ { 1 } \bigl ( ( \chi ^ { - 1 } \otimes 1 ) \, b \bigr )"
val_000592.png,"f ( \beta ) = \prod _ { \alpha > 0 } \biggl ( 1 + \sum _ { s = 1 } ^ { \infty } a _ { s } ( \beta \cdot \alpha ) ^ { 2 s } \biggr ) ,"
val_000593.png,"S \rightarrow S - \frac { 1 } { 8 \pi ^ { 2 } } \sum _ { i = 1 } ^ { h _ { ( 1 , 1 ) } } \delta _ { G S } ^ { i } \operatorname { l o g } ( i c T + d ) _ { i }"
val_000594.png,"F = { \frac { 1 } { 2 } } F _ { \mu \nu } d x ^ { \mu } \wedge d x ^ { \nu } ,"
val_000595.png,\frac { b _ { 1 \! / \! 2 } ( u ) } { u ^ { 2 } } \; \sim \; \varepsilon _ { \mathrm { \scriptsize { s h e a r } } } \; .
val_000596.png,L _ { - 1 } = \sum _ { m = 0 } ^ { \infty } ( m + \frac { 1 } { 2 } ) t _ { m } \frac { \partial } { \partial t _ { m - 1 } } + \frac { 1 } { 8 } \lambda ^ { - 2 } t _ { 0 } ^ { 2 } .
val_000597.png,"\{ Q _ { i } , Q _ { j } ^ { + } \} = 2 H \delta _ { i j } \qquad \qquad i , j = 1 . . N"
val_000598.png,\frac { d ^ { 2 } x ^ { - } } { d \tau ^ { 2 } } + \dot { x } ^ { + } \sum _ { i = 1 } ^ { 8 } x _ { i } \dot { x _ { i } } = 0
val_000599.png,"\breve { A } _ { n } = { \frac { \beta } { \sqrt { \pi } } } \sum _ { m = n } ^ { 2 n } \Gamma ( m - n + 1 / 2 ) \breve { a } _ { 2 ( m - n ) , m } ."
val_000600.png,\lambda ^ { p } \sum _ { i } ( a _ { i } ^ { n _ { i } } a _ { i } ^ { \dagger m _ { i } } ) \sum _ { j \ne i } ( a _ { j } ^ { \dagger } ) ^ { n _ { 2 } } ( a _ { j } ) ^ { m _ { 2 } } M _ { i j }
val_000601.png,"B _ { z } ( \rho ) = A _ { \varphi } ^ { \prime } ( \rho ) + { \frac { 1 } { \rho } } \; A _ { \varphi } ( \rho ) \, ."
val_000602.png,\delta _ { s u s y } \Psi _ { \mu } = \hat { \nabla } _ { \mu } \epsilon _ { k } = 0
val_000603.png,p \rightarrow - m \omega x \qquad x \rightarrow p / m \omega
val_000604.png,{ \bf V } _ { c d } ^ { \mu } = - \varepsilon ^ { \mu \nu \rho \sigma } f _ { c d j } ^ { i } { \cal H }
val_000605.png,\chi y ^ { p - 1 } = \omega m ^ { 4 ( p - 1 ) }
val_000606.png,"\epsilon _ { T } ^ { ( R ) } = \frac 1 2 ( \epsilon _ { T } + \bar { \epsilon } _ { T } ) , \quad \epsilon _ { T } ^ { ( I ) } = \frac { 1 } { 2 i } ( \epsilon _ { T } - \bar { \epsilon } _ { T } ) ."
val_000607.png,"\gamma _ { p } = \left( \frac { p + 1 } { D } \langle v ^ { 2 } \rangle - \frac { p } { D } \right) ,"
val_000608.png,"\chi _ { 5 } = \pi _ { 5 } + ( i / 2 ) \xi _ { 5 } \, ,"
val_000609.png,"\partial _ { \mu } L _ { \nu } - \partial _ { \nu } L _ { \mu } + [ L _ { \mu } , L _ { \nu } ] ~ = ~ 0 ~ ~ ~ ,"
val_000610.png,B _ { i } ^ { 2 } = ( d e t D ) ^ { - 1 } D _ { i j } [ v ^ { - 1 } e ^ { - \phi } E _ { j } ^ { 1 } + \psi B _ { j } ^ { 1 } ] .
val_000611.png,"{ \cal D } ^ { 2 } = - K + 4 m { \cal N } { \cal D } ,"
val_000612.png,"[ H _ { c } , P ^ { I } ] = i P ^ { I } , \; { [ } H _ { c } , Q ^ { I } { ] } = i Q ^ { I }"
val_000613.png,"\partial _ { + + } M ^ { i } = 0 \qquad \partial _ { -- } N ^ { i } = 0 ,"
val_000614.png,( \sigma _ { a b } ) ^ { 2 } \sim B _ { t r } B _ { t r } g ^ { t t } g ^ { r r } = B _ { t r } ^ { 2 } .
val_000615.png,"f ( z ) = 4 \operatorname { t a n } ^ { - 1 } \operatorname { e x p } { [ 2 \frac { z - z _ { 0 } } { \sqrt { 1 - v ^ { 2 } } } ] } ,"
val_000616.png,"S = { \frac { 1 } { 2 } } \sqrt { 4 T r ( A ^ { 2 } ) - ( T r A ) ^ { 2 } + 3 2 R e ( P f \, Z ) }"
val_000617.png,{ \wp } = \sum _ { \vec { \mu } } c _ { \vec { \mu } } x ^ { \vec { \mu } }
val_000618.png,"\theta _ { + } = \theta ^ { - } , \qquad \theta _ { - } = - \theta ^ { + } ."
val_000619.png,"{ \frac { 1 } { 4 } } \, G _ { I J } \, \beta ^ { I } \, \beta ^ { J } = 1 - { \frac { V ( \phi ) } { ( a \, \langle T \rangle + U ( \phi ) ) ^ { 2 } } } \geq 0 \, ."
val_000620.png,\alpha ^ { \prime } \tilde { p } ^ { 2 } n ^ { - 1 } ( 2 \alpha ^ { \prime } / \pi \operatorname { l o g } n ) ^ { 1 - D / 2 }
val_000621.png,"{ \cal L } \, = \, { \cal L } _ { K i n } ^ { v e c t o r s } \, + \, { \cal L } _ { P a u l i } ^ { n o n \, i n v } \, + \, { \cal L } _ { 4 f } ^ { n o n \, i n v }"
val_000622.png,0 = 1 - 8 \pi G r _ { * } ^ { 2 } U ( r _ { * } ) \ .
val_000623.png,"V _ { I J K L } = \frac { W _ { I J } } { W _ { K L } } ~ , \quad \bar { V } _ { I J K L } = \frac { \bar { W } _ { I J } } { \bar { W } _ { K L } }"
val_000624.png,"\tilde { \cal H } = \tilde { \cal H } _ { 0 } + \tilde { \cal H } _ { 1 } + \tilde { \cal H } _ { 2 } ,"
val_000625.png,W _ { e f f } = - \frac { \mathrm { P f } M } { 2 ^ { N _ { c } - 1 } \Lambda _ { N = 1 } ^ { 2 N _ { c } + 1 } } - \frac { 1 } { 2 \mu } \mathrm { T r } ( M ^ { 2 } )
val_000626.png,\psi _ { a b } = 2 D _ { [ a } ^ { \dagger } M _ { b ] } ( M ^ { \dagger } M ) ^ { - 1 } \psi + M _ { c } ^ { \dagger } \psi _ { a b c } \ .
val_000627.png,"Q ( H - E ) Q \mid \Psi _ { Q } \, \rangle + Q H P \mid \Psi _ { P } \, \rangle = 0"
val_000628.png,V ( \phi ) = - \frac { 1 } { 2 } \phi ^ { 2 } + \frac { 1 } { p + 1 } \phi ^ { p + 1 }
val_000629.png,c _ { \hat { j } } ( \hat { m } ) = \sqrt { 2 ( \hat { j } - \hat { m } ) ( \hat { j } + \hat { m } + 1 ) } .
val_000630.png,\wp ^ { ( 1 / 2 ) } ( x ) \equiv \wp ( x ) + \wp ( x + \omega _ { 1 } ) - \wp ( \omega _ { 1 } )
val_000631.png,h ^ { \alpha } = | c _ { \alpha } | ^ { 2 } \sum _ { i = 1 } ^ { r } v _ { \alpha } ^ { i } H ^ { i }
val_000632.png,"c _ { e f f } = 1 - \frac { 8 } { 4 n t } = 1 - \frac { 2 ( \bar { n } t - 3 \bar { m } n ) ^ { 2 } } { n t } \quad ,"
val_000633.png,"[ r _ { 1 2 } , r _ { 1 3 } ] + [ r _ { 1 2 } , r _ { 2 3 } ] + [ r _ { 1 3 } , r _ { 2 3 } ] = \alpha [ t _ { 1 3 } , t _ { 2 3 } ] ."
val_000634.png,"\delta _ { v } ( \delta _ { u } B ^ { a } ) = D \delta _ { v } u ^ { a } = D D v ^ { a } = [ F , ~ v ] ^ { a } = 0 ,"
val_000635.png,H = \frac { L ^ { 4 } } { 2 } \left( \frac { 1 } { | \vec { y } - \vec { d } _ { 1 } | ^ { 4 } } + \frac { 1 } { | \vec { y } - \vec { d } _ { 2 } | ^ { 4 } } \right)
val_000636.png,\rho ( y _ { H } ) = 0 \quad \textrm { a n d } \quad \rho ( y _ { I } ) = \infty \; .
val_000637.png,"\left( \nabla _ { \mu } \nabla ^ { \mu } + \frac { 1 } { 6 } R \right) \varphi ( x ) = 0 ,"
val_000638.png,"\beta = 2 \alpha ( n + 1 ) - 1 , \quad w i t h \; n = 0 , 1 , 2 , . . ."
val_000639.png,{ \cal A } = { \frac { { \cal F } _ { \mathrm { i n } } ( 0 ) } { { \cal F } _ { \mathrm { i n } } ( \infty ) } } \simeq 4 \pi u _ { 0 } ^ { 2 } q \left\vert { \frac { A } { \alpha } } \right\vert ^ { 2 } .
val_000640.png,"\left| { \frac { d x } { d \lambda } } \right| = { \frac { 1 } { \sqrt { g _ { x x } ^ { E } } } } \sqrt { - { \frac { E ^ { 2 } } { g _ { t t } ^ { E } } } - { \frac { ( J ^ { m } ) ^ { 2 } } { g _ { \phi _ { m } \phi _ { m } } ^ { E } } } - \epsilon } ,"
val_000641.png,( l _ { j } ) _ { s } = l _ { j } / ( 3 s - P _ { j } t ^ { - 1 / 2 } )
val_000642.png,"g _ { k } ^ { ( l _ { 1 } , l _ { 2 } ) } \rightarrow c _ { 1 } g _ { k } ^ { ( l _ { 1 } , l _ { 2 } ) }"
val_000643.png,E _ { ( p h a s e s ) } \{ \mu _ { k } \mu _ { k } ^ { \ast } \} = N _ { k } \; .
val_000644.png,\sum _ { n } c _ { n } f _ { n } \* \sum _ { m } d _ { m } f _ { m } = \sum _ { m } d _ { m } f _ { m } \* \sum _ { n } c _ { n } f _ { n } .
val_000645.png,d s _ { L } ^ { 2 } = g _ { i j } d x ^ { i } d x ^ { j } \ .
val_000646.png,"{ \cal L } _ { A } = - \frac { 1 } { 4 } \, F _ { \mu \nu } \, F ^ { \mu \nu } \, ,"
val_000647.png,\Delta V \sim \frac { 2 } { 3 \pi } \frac { R ^ { 2 } } { r ^ { 2 } } \operatorname { l n } \frac { r } { R } .
val_000648.png,"F = { \frac { Q } { r ^ { 2 } } } ; ~ ~ Q = \mathrm { c o n s t } ,"
val_000649.png,"\delta _ { \lambda } B _ { m \, \mu \nu } = 2 \partial _ { [ \mu } \lambda _ { | m | \nu ] } \, ."
val_000650.png,"\epsilon _ { ( 0 ) } ^ { 3 } = \epsilon _ { ( 0 ) } ^ { 4 } = 0 \, , \hspace { 1 c m } \epsilon _ { 1 ( 0 ) } = e ^ { i \gamma } \gamma ^ { 0 } \epsilon _ { ( 0 ) } ^ { 2 } \, ."
val_000651.png,"m _ { 2 } \circ m _ { 2 } + m _ { 1 } \circ m _ { 3 } + m _ { 3 } \circ m _ { 1 } = 0 ,"
val_000652.png,\langle \psi _ { \ell } | H | \psi _ { \ell } \rangle = \langle { \bf a } | H _ { S B } ( \ell ) | { \bf a } \rangle
val_000653.png,e ^ { i \theta } = e ^ { \phi _ { 0 } / 2 } ( q _ { 1 } - q _ { 2 } \overline { { \lambda } } _ { 0 } ) \Delta _ { q } ^ { - 1 / 2 }
val_000654.png,"\delta h _ { z z } = \nabla _ { z } \xi _ { z } \qquad , \qquad \delta h _ { \bar { z } \bar { z } } = \nabla _ { \bar { z } } \xi _ { \bar { z } } \ ."
val_000655.png,"( \delta T _ { 0 } ) _ { 2 , 2 } ( s _ { 2 } - ) = \delta T _ { 0 } ( s _ { 2 } + ) ."
val_000656.png,< < p _ { 0 } - p > > _ { i } = < < M _ { D } u _ { i } > > = 0
val_000657.png,"\{ g _ { \mu \nu } , \phi , B _ { \mu \nu } , C ^ { ( 3 ) } { } _ { \mu \nu \rho } , C ^ { ( 1 ) } { } _ { \mu } , \psi _ { \mu } , \lambda \}"
val_000658.png,"\eta _ { - } = \eta _ { a } - \eta _ { b } , \qquad \xi _ { + } = \xi _ { a } + \xi _ { b } ."
val_000659.png,"\phi _ { m r } = \sum _ { n = 1 } ^ { \infty } \left[ \operatorname { l n } \left( \frac { \omega _ { r n } + \omega _ { m } \alpha _ { r } } { n } \right) - \frac { \omega _ { m } \alpha _ { r } } { n } \right] ,"
val_000660.png,"F _ { \mu \nu } ^ { a } = \partial _ { \mu } A _ { \nu } ^ { a } - \partial _ { \nu } A _ { \mu } ^ { a } + \alpha f ^ { a b c } A _ { \mu } ^ { b } A _ { \nu } ^ { c } ,"
val_000661.png,"E q ^ { m } = \int _ { V } d \tilde { \sigma } _ { \mu } j _ { \mu } ^ { m } ( x , C ) = E I ( V , C )"
val_000662.png,"G ^ { R } ( k ) = { \frac { N ^ { 2 } k ^ { 4 } } { 6 4 \pi ^ { 2 } } } ( \operatorname { l n } { | k ^ { 2 } | } - i \pi \, \theta ( - k ^ { 2 } ) \, \mathrm { s g n } \, \omega ) \, ."
val_000663.png,"{ \delta } _ { \alpha } \equiv \frac { \delta } { d u ^ { \alpha } } = ( \delta _ { i } = \partial _ { i } - N _ { i } ^ { b } ( u ) \ \partial _ { b } , \partial _ { a } = \frac { \partial } { d y ^ { a } } )"
val_000664.png,"j _ { \; \; a } ^ { \mu } = i \bar { \psi } _ { \alpha } ^ { \; A } \left( \gamma ^ { \mu } \right) _ { \; \; \beta } ^ { \alpha } T _ { \; \; a A } ^ { C } \psi _ { \; C } ^ { \beta } ,"
val_000665.png,"{ \cal M } = V ^ { \dagger } { \cal U } V , \quad V = ( \sigma _ { 0 0 } - i \sigma _ { 1 0 } ) / \sqrt { 2 } ,"
val_000666.png,p _ { 0 } ^ { 2 } = p _ { 3 } ^ { 2 } + P ^ { 2 } + c { \frac { 1 } { \theta ^ { 2 } P ^ { 2 } } }
val_000667.png,"R _ { l } ( r ) = \left( \frac { e B } { 4 } r ^ { 2 } \right) ^ { \frac { b } { 2 } - \frac { 1 } { 4 } } e ^ { - e B r ^ { 2 } / 8 } F ( a , b , \frac { e B } { 4 } r ^ { 2 } ) ,"
val_000668.png,i \sum _ { a = 1 } ^ { N } \psi ^ { a } \psi ^ { b } \omega _ { a b } - C \dot { = } 0 .
val_000669.png,\Omega ( \pm \eta _ { \mathrm { j } } ) = \Psi _ { \mathrm { i } } \pm \epsilon n \eta _ { 0 } \biggl ( 1 - \frac { n ^ { 2 } } { n _ { \mathrm { i n f } } ^ { 2 } } \biggr ) ^ { 1 / 2 } + { \cal O } ( \epsilon ^ { 3 } ) .
val_000670.png,"E ( L ) = - \displaystyle \frac { \pi c ( L ) } { 6 L } \, \, ."
val_000671.png,\int _ { 0 } ^ { \pi } C _ { m } ^ { p } ( c o s { \theta } ) C _ { l } ^ { p } ( c o s { \theta } ) ( s i n { \theta } ) ^ { 2 p } d { \theta } = \delta _ { l m }
val_000672.png,r ^ { \prime } = 2 ( \Lambda r ^ { 2 } - M ) p + 2 p _ { v }
val_000673.png,"\tau _ { D } = \left( d _ { p } N e ^ { ( 2 - k ) \phi } \right) ^ { 2 / \tilde { d } } \gg 1 \, ."
val_000674.png,\int \frac { d \omega } { 2 \pi } \rightarrow \frac { 1 } { \beta } \sum _ { n }
val_000675.png,"\operatorname* { d e t } \, \Delta _ { \phi } = \operatorname* { d e t } \, \Delta _ { \mathrm { g h } } = \left[ \operatorname* { d e t } \, \Delta _ { + } \right] ^ { 1 / 2 } \ ."
val_000676.png,"{ \frac { 1 } { 2 } } \int G _ { ( p + 2 ) } \star G _ { ( p + 2 ) } + i \mu _ { p } \int _ { p - b r a n e } C _ { ( p + 1 ) } ,"
val_000677.png,"\nu ^ { 2 } : = \frac { \lambda _ { 2 } } { \lambda _ { 1 } } , \qquad \mu ^ { 2 } : = \frac { \lambda _ { 0 } } { \lambda _ { 1 } }"
val_000678.png,"\nabla ^ { ( 1 ) } \pi _ { \alpha } ^ { ( 1 ) } = 0 , ~ ~ ~ [ \pi ^ { ( 1 ) } , H ^ { ( 1 ) } ] _ { * _ { 1 } } = O ( \hbar ) ."
val_000679.png,\dot { r } ^ { 2 } - \frac { E ^ { 2 } } { r ^ { 2 } } G + \frac { G } { F } p _ { \chi } ^ { 2 } = 0
val_000680.png,"\overline { { A } } ^ { t } = \frac { 1 } { t } \int _ { 0 } ^ { t } \, d \tau A [ \pi ( \tau ) , \varphi ( \tau ) ] ~ ~ ."
val_000681.png,"\tilde { B } = \left( \begin{array} { l l } { 3 N _ { c } - 2 N _ { f } - 6 } & { - N _ { f } } \\ { N _ { f } - N _ { c } + 1 } & { { \frac { N _ { f } - N _ { c } + 4 } { 2 } } } \\ \end{array} \right) ,"
val_000682.png,"f _ { ( \frac { 3 } { 2 } , 3 ) } ^ { M } ( A _ { 9 } ) = \frac { 1 7 \pi ^ { 2 } } { 1 0 8 } A _ { 9 } ^ { 4 } , \qquad - \infty < A _ { 9 } < \infty ,"
val_000683.png,\rho _ { 2 } = \sqrt { 2 } e \int d x ^ { - } \psi _ { + } ^ { \dagger } \psi _ { + } .
val_000684.png,"\operatorname { t a n } \phi _ { 0 } = 0 \ , \ \ \ ( \mathrm { i f } \ M _ { 0 } \ne 0 )"
val_000685.png,"\eta \left( V ( V _ { ( \infty ^ { p } , - 1 ) } ^ { ( M ) } ( \psi ) \chi , 1 ) U \right) = 0 \, ,"
val_000686.png,{ \cal D } _ { 2 g } = \frac { 1 } { \rho } ( \vec { \sigma } . \vec { \cal L } + 1 ) .
val_000687.png,d s ^ { 2 } = \eta _ { \mu \nu } d x ^ { \mu } d x ^ { \nu } + r ^ { 2 } ( d \theta + q d y ) ^ { 2 } + d y ^ { 2 } .
val_000688.png,"\frac { \bar { \Lambda } / M ^ { 2 } } { M _ { P , e f f } ^ { 2 } } = \frac { \tilde { \Lambda } / M ^ { 2 } } { \tilde { M } _ { P , e f f } ^ { 2 } } ."
val_000689.png,h _ { \mu \nu } = \frac { 1 } { 2 } \left( \nabla _ { \mu } \xi _ { \nu } + \nabla _ { \nu } \xi _ { \mu } - \delta _ { \mu \nu } \nabla \xi \right) = ( P \xi ) _ { \mu \nu } \: .
val_000690.png,"\nabla _ { \mu } \nabla ^ { \mu } Z - 2 \lambda ^ { 2 } Z \bar { \sigma } \sigma - 2 c ( c Z + m ) \bar { \phi } \phi = 0 ,"
val_000691.png,"\partial ^ { \mu } { \cal S } \partial _ { \mu } S - 2 i m c { \cal D } \partial ^ { \mu } \partial _ { \mu } { \cal S } = m ^ { 2 } c ^ { 2 } ,"
val_000692.png,{ } ^ { ( 5 ) } \Lambda + { \frac { \kappa _ { 5 } ^ { 2 } } { 6 } } \lambda ^ { 2 } = { \frac { 1 } { 8 } } \left( { \frac { d \lambda } { d \phi } } \right) ^ { 2 }
val_000693.png,\delta \theta \int d ^ { 4 } z \{ \frac { \delta } { \delta \xi ( z ) }
val_000694.png,"\mathrm { e } ^ { \psi \; \mathrm { a d } _ { I } } f ( 0 ) = 0 \; \; \forall \psi ,"
val_000695.png,"\Phi _ { \sigma } \frac { \partial \Lambda _ { \mu } ^ { \sigma } } { \partial x ^ { \nu } } = - C _ { \nu \sigma } ^ { \alpha \beta } \Phi _ { \alpha } \Phi _ { \beta } \Lambda _ { \mu } ^ { \sigma } ,"
val_000696.png,- \lambda _ { i } - { \frac { 4 g } { N } } \lambda _ { i } ^ { 3 } + \sum { \frac { 2 } { \lambda _ { i } - \lambda _ { j } } } = 0 .
val_000697.png,"\zeta = \dot { \chi } ( d \chi + \star d h ) + \frac { 1 } { 4 } \dot { h } \, d h"
val_000698.png,"\Sigma \gg T , e _ { f } ^ { 2 } / 1 2 \pi"
val_000699.png,"d s ^ { 2 } = - H ^ { - 1 } d t ^ { 2 } + H \delta _ { m n } d x ^ { m } d x ^ { n } ,"
val_000700.png,"\int _ { \Sigma _ { 2 } } B _ { 2 } = \frac { \left( 2 \pi \sqrt { \alpha ^ { \prime } } \right) ^ { 2 } } { 2 } \, ."
val_000701.png,"\alpha _ { \pm } = \alpha _ { 0 } \pm \sqrt { 1 + \alpha _ { 0 } ^ { 2 } } ,"
val_000702.png,"\int d ^ { d } k _ { 1 } \frac { \partial } { \partial k _ { 1 \mu } } \left[ ( k _ { 1 } + q ) _ { \mu } P _ { k _ { 1 } , m _ { 1 } } ^ { \nu _ { 1 } } P _ { k _ { 1 } - q , m _ { 2 } } ^ { \nu _ { 2 } } \right] \equiv 0 ,"
val_000703.png,"u ^ { i } = z _ { \pm } ^ { i } ( v ) , \quad \quad \quad \quad \quad i = 1 , 2 , 3"
val_000704.png,"A ^ { ( 1 ) } = T _ { 3 } \frac { f _ { 1 } ( x _ { 3 } ^ { 2 } + x _ { 4 } ^ { 2 } ) } { x _ { 3 } ^ { 2 } + x _ { 4 } ^ { 2 } } ( 0 , 0 , x _ { 4 } , - x _ { 3 } )"
val_000705.png,"\gamma _ { 1 , 2 } = - \frac 1 2 \int _ { { \bf c } ^ { ( I ) } } \left[ 1 \mp \operatorname { c o s } \theta \right] d \varphi \pm \triangle \gamma"
val_000706.png,"e ^ { 2 \sigma } = 2 \pi _ { ~ z } ^ { \bar { z } } \pi _ { ~ \bar { z } } ^ { z } e ^ { 2 \tilde { \sigma } } ,"
val_000707.png,"M _ { i j } ( q ( i \pi s _ { n } ) , \bar { q } ( i \pi s _ { n } ) ) \sim y _ { i } ( n ) y _ { j } ( n )"
val_000708.png,"\widetilde { T _ { \alpha } } = \left( i \Gamma ^ { m } \theta \right) _ { \alpha } \cdot \frac \partial { \partial X ^ { m } } + \frac \partial { \partial \theta ^ { \alpha } } = : \delta _ { \alpha } \quad ,"
val_000709.png,"H _ { 6 } ( r ) = 1 + \frac { g _ { s } \sqrt { \alpha ^ { \prime } } M } { 2 r } \, ."
val_000710.png,{ \cal L } = { \frac { 1 } { 2 } } \left( \partial _ { \mu } \phi \right) ^ { 2 } + { \frac { m ^ { 2 } } { \beta ^ { 2 } } } - { \frac { m ^ { 2 } } { 2 } } \phi ^ { 2 } + { \frac { m ^ { 2 } \beta ^ { 2 } } { 2 4 } } \phi ^ { 4 } + \cdots
val_000711.png,d s ^ { 2 } = - a ^ { 2 } d t ^ { 2 } + b ^ { 2 } d r ^ { 2 } + r ^ { 2 } d \Omega ^ { 2 }
val_000712.png,- \frac { 1 } { f } ( e ^ { - 2 \alpha \phi } d v ^ { 2 } + e ^ { 2 \alpha \phi } d a ^ { 2 } ) + 2 d \phi ^ { 2 } .
val_000713.png,n _ { i } E ( b ) = h ( 1 + b ^ { 2 } ) \mu G ( b e _ { i } ) .
val_000714.png,"m ^ { 4 } \int D [ C ] \, \vert \Psi [ C ] \vert ^ { 2 } = 1 ."
val_000715.png,H = \omega { \bar { \eta } } _ { i } { \partial } _ { \bar { \eta } } ^ { i } - \bar { f } ( t ) { \bar { g } } _ { i } { \partial } _ { \bar { \eta } } ^ { i } - f ( t ) { \bar { \eta } } _ { i } g ^ { i }
val_000716.png,Q ^ { \rho \sigma } Q _ { \rho } ^ { \ \lambda } = \eta ^ { \sigma \lambda } .
val_000717.png,Z ( t ) = T r ( e ^ { - t \mathcal { H } } ) = \int _ { 0 } ^ { \infty } d E e ^ { - t E } \rho ( E ) .
val_000718.png,"P _ { i } ( \epsilon , D ) = { \frac { \epsilon ^ { 2 - D } } { ( 4 \pi ) ^ { D / 2 } } } ~ \left( { \frac { \beta _ { H } } { \pi \beta } } \right) ^ { D - 1 } Q _ { i } ~ { \cal A } ^ { H } ~ ~ ~ ,"
val_000719.png,"\rho ( \theta , \tau ) ~ \equiv ~ \frac { 1 } { N } \sum _ { i = 1 } ^ { N } \delta ( \theta - \alpha _ { i } ( \tau ) ) \; ,"
val_000720.png,"\Omega ( p ) = \bar { p } \quad , \quad \Omega ( \bar { p } ) = p"
val_000721.png,\eta ^ { \mu \sigma } \eta ^ { \nu \alpha } G _ { \mu \nu \rho \sigma \alpha \beta } \; \; = \; \; 0
val_000722.png,"\delta { X } ^ { 5 } = f ( \hat { X } ^ { 1 } , \cdots , \hat { X } ^ { 4 } )"
val_000723.png,"\Sigma \rightarrow \Sigma + \epsilon _ { \Phi } , \hspace { 1 c m } \Phi \rightarrow \Phi ."
val_000724.png,"H _ { g o n i h e d r i c } ^ { 3 d } = - \frac { 1 } { 2 } \sum _ { \vec { r } , \vec { \alpha } , \vec { b e t a } } \sigma _ { \vec { r } } \sigma _ { \vec { r } + \vec { \alpha } } \sigma _ { \vec { r } + \vec { \alpha } + \vec { \beta } } \sigma _ { \vec { r } + \vec { \beta } }"
val_000725.png,"\frac { 2 \pi } { N \lambda _ { 0 } } = \int _ { 0 } ^ { \Lambda } \frac { d k } { \sqrt { k ^ { 2 } + m ^ { 2 } } } = \operatorname { l n } \! \left( \frac { 2 \Lambda } { m } \right) ,"
val_000726.png,"{ \cal S } _ { \ \nu | \mu } ^ { \mu } = 0 \ , \quad { \cal S } _ { \ \mu } ^ { \mu } = 0 \ ."
val_000727.png,"C ^ { a } = \tilde { C } ^ { a } + C _ { 0 } ^ { a } , \quad \quad C _ { 0 } ^ { a } ( x ) = C _ { i } ^ { a } ( x ) \theta ^ { i } ,"
val_000728.png,"\Lambda = M _ { P } e ^ { - 8 \pi ^ { 2 } k _ { N } S / ( 3 N _ { c } - N _ { f } ) } ,"
val_000729.png,P _ { c } \equiv \frac { \partial L } { \partial \dot { X } } = \frac { 1 } { 2 } \dot { X } .
val_000730.png,"\omega = \frac { e B } { m } + \frac { e ^ { 3 } B ^ { 3 } c ^ { 2 } } { A ^ { 2 } m ^ { 3 } } = \omega _ { c } + \bigtriangleup \omega \, { , }"
val_000731.png,\langle x \vert e ^ { - t H _ { \alpha } } \vert x \rangle = \frac { 1 } { 4 \pi t }
val_000732.png,\beta _ { 1 } ^ { ^ { \prime } } ( 0 ) = 0
val_000733.png,"S ^ { ( 0 ) } = e ^ { \hat { Y } ^ { ( 0 ) } } S _ { 2 , c } ^ { ( 0 ) } , \quad \varepsilon ( Y ^ { ( 0 ) } ) = 1 ."
val_000734.png,"F _ { \! _ { J } } \ = \, f r a c { h c } { 2 \pi } \, \frac { 1 } { R ^ { 2 } }"
val_000735.png,{ \cal E } = - { \frac { { \pi } ^ { 2 } l ^ { 4 } \left[ a ^ { 6 } / l ^ { 6 } + 5 a ^ { 4 } / l ^ { 4 } + 5 0 \Xi \right] } { 1 2 8 0 \Xi G } } \ .
val_000736.png,"\sigma _ { l } ^ { B = 0 } = { \frac { 8 \pi ^ { 2 } / 3 } { \omega ^ { 5 } } } ( l + 1 ) ( l + 2 ) ^ { 2 } ( l + 3 ) P _ { l } ,"
val_000737.png,"\partial \psi = p \varphi \qquad , \qquad \overline { { \partial } } \varphi = - p \psi"
val_000738.png,"\langle 0 | W _ { \mathrm { e f f } } | 0 \rangle = \sum _ { p = 2 } ^ { N } \, g _ { p } \langle 0 | u _ { p } | 0 \rangle = \sum _ { p = 2 } ^ { N } \, \sum _ { j = 1 } ^ { N } \, g _ { p } \tilde { \lambda } _ { j } ^ { p }"
val_000739.png,"Z _ { M } ( f ( \rho ) , g ( \lambda ) ) = Z _ { W } ( \lambda , \rho ) \; \; ,"
val_000740.png,"\hat { H } _ { \mathrm { r e l } } \psi _ { n } ( z , \bar { z } ) = E _ { n } \psi _ { n } ( z , \bar { z } ) ."
val_000741.png,{ \cal L } = - \frac { 1 } { g ^ { 2 } } \mathrm { t r } F ^ { 2 } + f ^ { 2 } \mathrm { t r } A ^ { 2 } + \cdots
val_000742.png,"\Phi ^ { I } = \ \sum _ { | J | = n } \ p h r ( J , I ) \ R _ { J } \ ."
val_000743.png,- { \frac { N g } { 2 } } ( v ^ { * } v ) ^ { 2 } \ \to \ N g \left( \sigma ( v ^ { * } v ) + { \frac { \sigma ^ { 2 } } { 2 } } \right)
val_000744.png,"Q = - \frac { 1 } { 2 4 \pi ^ { 2 } } \, \varepsilon ^ { i j k } \, \int d ^ { 3 } x \, { \mathrm S p } ( l _ { i } \, l _ { j } \, l _ { k } ) ."
